Time,Counts,Total Angle,Relative Angle,RPM
0.5,0,0,0,0
1.0,0,0,0,0
1.5,0,0,0,0
2.0,0,0,0,0
2.5,20,40,40,13.33
3.0,104,208,208,56
3.5,211,422,62,71.33
4.0,316,632,272,69.33
4.5,416,832,114,67.33
5.0,512,1024,304,63.33
5.5,608,1216,136,64
6.0,702,1404,324,62.67
6.5,796,1592,152,62.67
7.0,891,1782,344,64
7.5,985,1970,170,62
8.0,1080,2160,0,63.33
8.5,1175,2350,190,64
9.0,1385,2770,250,140
9.5,1656,3312,72,180
10.0,1916,3832,232,173.33
10.5,2168,4336,18,168.67
11.0,2420,4840,160,167.33
11.5,2668,5336,296,164.67
12.0,2908,5816,58,160
12.5,3137,6274,156,152.67
13.0,3364,6728,248,150
13.5,3590,7180,340,150.67
14.0,3816,7632,72,150
14.5,4041,8082,164,150.67
15.0,4268,8536,256,150
15.5,4492,8986,346,150.67
16.0,4718,9438,78,150
16.5,4943,9886,166,149.33
17.0,5176,10352,274,155.33
17.5,5477,10956,156,200.67
18.0,5796,11592,72,211.33
18.5,6114,12228,350,212.67
19.0,6433,12868,268,212.67
19.5,6753,13506,188,213.33
20.0,7074,14148,110,214
20.5,7393,14786,28,212
21.0,7712,15424,306,212
21.5,8024,16048,210,208
22.0,8337,16676,118,209.33
22.5,8826,17652,14,325.33
23.0,9320,18640,280,328.67
23.5,9812,19624,184,328
24.0,9738,19476,32,-52
24.5,9246,18492,128,-328
25.0,8753,17504,224,-328
25.5,8261,16522,320,-326.67
26.0,7770,15540,56,-326.67
26.5,7279,14558,156,-327.33
27.0,6788,13576,256,-325.33
27.5,6300,12600,356,-325.33
28.0,5810,11618,96,-325.33
28.5,5320,10640,200,-325.33
29.0,4866,9732,12,-301.33
29.5,4866,9732,12,0
30.0,4866,9732,12,0
30.5,4866,9732,12,0
31.0,4865,9730,10,-0.67
31.5,4865,9730,10,0
32.0,4865,9730,10,0
32.5,4865,9730,10,0
,,,,
,,,,-328
,,19624,356,328.67